prediction,probab_0,probab_1,text1,text2
0,-0.014990255236625671,-0.32173293828964233,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.
1,-0.2777089476585388,-0.21612778306007385,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.
0,-0.14964066445827484,-0.18892265856266022,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.
0,-0.22586776316165924,-0.24221202731132507,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.
0,0.15341122448444366,-0.3218057155609131,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.
1,-0.27004700899124146,-0.22619089484214783,An old man with a package poses in front of an advertisement.,A man walks by an ad.
0,0.04490162432193756,-0.30079251527786255,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.
0,-0.057583317160606384,-0.31452035903930664,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.
0,-0.09860531985759735,-0.21211260557174683,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.
1,-0.36928534507751465,-0.0646522119641304,A land rover is being driven across a river.,A vehicle is crossing a river.
1,-0.39239799976348877,-0.10558032244443893,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.
1,-0.15757136046886444,-0.1336531788110733,A man playing an electric guitar on stage.,A man playing banjo on the floor.
0,-0.013057336211204529,-0.255490779876709,A man playing an electric guitar on stage.,A man playing guitar on stage.
0,-0.19924001395702362,-0.21003282070159912,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book
1,-0.5704770088195801,-0.36648377776145935,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j
0,-0.40905845165252686,-0.4221588969230652,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall
0,0.4402906894683838,-0.2986237108707428,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object
1,-0.5185008645057678,-0.29943549633026123,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.
1,-0.48234981298446655,-0.24521969258785248,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.
0,0.14892874658107758,-0.15013881027698517,A couple walk hand in hand down a street.,A couple is walking together.
0,-0.02128387987613678,-0.17515766620635986,A couple walk hand in hand down a street.,A couple is sitting on a bench.
0,-0.002628728747367859,-0.08838748186826706,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.
0,0.1287284642457962,-0.31024062633514404,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.
0,0.19510631263256073,-0.3320932388305664,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.
1,-0.2800444960594177,-0.27392885088920593,A man reads the paper in a bar with green lighting.,The man is inside.
1,-0.47824627161026,-0.44709232449531555,A man reads the paper in a bar with green lighting.,The man is climbing a mountain.
0,0.04458589851856232,-0.10876338183879852,Three firefighter come out of subway station.,Three firefighters coming up from a subway station.
0,-0.04014866054058075,-0.052896663546562195,Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.
0,0.17544101178646088,-0.24581335484981537,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.
0,0.14807696640491486,-0.19951318204402924,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.
0,0.025583401322364807,2.0785722881555557e-05,Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass
0,0.12938325107097626,-0.15250413119792938,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass
0,-0.030661270022392273,-0.10494337230920792,During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.
0,0.20846249163150787,-0.29801705479621887,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.
0,-0.04040391743183136,-0.06217401474714279,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.
1,-0.08004556596279144,-0.06672557443380356,A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.
1,-0.3310903310775757,-0.1119796559214592,A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.
1,-0.27614593505859375,0.04959817975759506,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.
0,0.08036299049854279,-0.3111410140991211,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.
0,-0.034425124526023865,-0.18571896851062775,A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men
1,-0.6835912466049194,-0.2714132070541382,A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall
